"Player","Team","Price","L01","L02","L03","L04","L05","LastScore","SeasonAvg","Last3Avg","Last5Avg"
"Tom Cole","WCE",472000,0,0,0,0,0,0,0,0,0
"Tom Cutler","ESS",570000,71,38,68,70,102,71,73.1428571428571,78,68
"Tom De Koning","CAR",501000,65,52,64,85,62,65,58.75,60.3333333333333,65.6
"Tom Doedee","ADE",539000,81,63,61,61,75,81,66.2222222222222,68.3333333333333,68.2
"Tom Fullarton","BRL",343000,32,0,0,0,0,32,32,32,32
"Tom Green","GWS",737000,74,98,74,91,102,74,96.2222222222222,82,87.8
"Tom Hawkins","GEE",611000,94,58,56,92,71,94,75.1111111111111,69.3333333333333,74.2
"Tom Hickey","SYD",619000,48,66,49,98,0,48,65.25,54.3333333333333,65.25
"Tom Highmore","STK",513000,0,0,0,0,0,0,0,0,0
"Tom Hird","ESS",190000,0,0,0,0,0,0,0,0,0
"Tom Joyce","WCE",190000,0,0,0,0,0,0,0,0,0
"Tom Lynch","NTH",599000,0,0,0,0,0,0,0,0,0
"Tom McCartin","SYD",350000,54,49,28,31,57,54,42.4444444444444,43.6666666666667,43.8
"Tom McDonald","MEL",485000,83,73,65,48,46,83,55.5,73.6666666666667,63
"Tom Mitchell","HAW",803000,51,103,109,94,103,51,91.75,87.6666666666667,92
"Tom Papley","SYD",504000,109,36,41,0,0,109,62,62,62
"Tom Phillips","HAW",578000,39,50,86,0,0,39,58.3333333333333,58.3333333333333,58.3333333333333
"Tom Powell","NTH",516000,50,39,40,76,86,50,58.2,43,58.2
"Tom Sparrow","MEL",562000,59,95,95,62,58,59,69.25,83,73.8
"Tom Williamson","CAR",394000,0,0,0,0,0,0,0,0,0
"Tom Wilson","COLL",306000,28,69,0,0,0,28,48.5,48.5,48.5
"Touk Miller","GCS",9e+05,128,92,140,111,99,128,107.555555555556,120,114
"Travis Boak","PTA",821000,38,110,89,117,75,38,103.555555555556,79,85.8
"Travis Colyer","FRE",496000,57,51,62,76,80,57,61.5714285714286,53.3333333333333,59.6
"Trent Bianco","COLL",383000,34,3,29,0,0,34,22,22,22
"Trent Cotchin","RI",602000,75,95,75,84,39,75,71.5,81.6666666666667,73.6
"Trent Dumont","PTA",517000,76,47,73,34,0,76,59.2,63,59.2
"Trent McKenzie","PTA",478000,33,25,42,0,0,33,33.3333333333333,33.3333333333333,33.3333333333333
"Trent Rivers","MEL",494000,58,39,61,84,60,58,61.25,52.6666666666667,60.4
"Trey Ruscoe","COLL",380000,0,0,0,0,0,0,0,0,0
"Tristan Xerri","NTH",523000,61,86,59,79,92,61,73,68.6666666666667,75.4
"Tyler Brockman","HAW",360000,0,0,0,0,0,0,0,0,0
"Tyler Brown","COLL",361000,46,62,49,29,35,46,44.2,52.3333333333333,44.2
"Tyler Sonsie","RI",236000,0,0,0,0,0,0,0,0,0
"Tyson Stengle","GEE",579000,45,114,87,79,80,45,70,82,81
"Wayne Milera","ADE",382000,50,0,0,0,0,50,50,50,50
"Wil Powell","GCS",514000,74,71,33,73,46,74,61.125,59.3333333333333,65
"Will Brodie","FRE",691000,102,104,64,83,76,102,91,90,85.8
"Will Day","HAW",549000,71,74,72,67,40,71,69.1666666666667,72.3333333333333,64.8
"Will Gould","SYD",190000,0,0,0,0,0,0,0,0,0
"Will Hamill","ADE",334000,48,46,0,0,0,48,47,47,47
"Will Hayward","SYD",527000,58,44,69,83,79,58,64,57,66.6
"Will Hoskin-Elliott","COLL",522000,72,63,56,67,68,72,62.125,63.6666666666667,65.2
"Will Kelly","COLL",191000,0,0,0,0,0,0,0,0,0
"Will Martyn","RI",268000,0,0,0,0,0,0,0,0,0
"Will Phillips","NTH",366000,0,0,0,0,0,0,0,0,0
"Will Setterfield","CAR",576000,43,70,67,78,76,43,64,60,66.8
"Will Shaw","GWS",190000,0,0,0,0,0,0,0,0,0
"Will Snelling","ESS",620000,31,0,0,0,0,31,31,31,31
"Willem Drew","PTA",601000,69,65,52,110,44,69,73.7777777777778,62,68
"Willie Rioli","WCE",418000,28,25,58,70,85,28,54.5,37,53.2
"Xavier Duursma","PTA",403000,45,38,14,67,24,45,37.6,32.3333333333333,37.6
"Xavier O'Halloran","GWS",410000,58,42,59,35,0,58,48.2,49,48.2
"Xavier O'Neill","WCE",387000,27,43,73,45,0,27,46.4,47.6666666666667,46.4
"Zac Bailey","BRL",639000,87,97,52,85,96,87,79.3333333333333,78.6666666666667,83.4
"Zac Fisher","CAR",578000,72,101,79,39,84,72,70.6666666666667,84,75
"Zac Langdon","WCE",380000,28,37,63,40,51,28,43.8,42.6666666666667,43.8
"Zac Taylor","ADE",204000,0,0,0,0,0,0,0,0,0
"Zach Guthrie","GEE",517000,83,108,11,63,69,83,66.8,67.3333333333333,66.8
"Zach Reid","ESS",348000,74,43,44,0,0,74,53.6666666666667,53.6666666666667,53.6666666666667
"Zach Tuohy","GEE",695000,100,96,59,125,76,100,81.1111111111111,85,91.2
"Zach Merrett","ESS",840000,51,94,92,111,119,51,97,79,92.6
"Zach Sproule","GWS",375000,0,0,0,0,0,0,0,0,0
"Zac Williams","CAR",609000,4,64,62,72,137,4,71.375,43.3333333333333,67.8
"Zaine Cordy","WBD",293000,57,34,24,43,46,57,38.4285714285714,38.3333333333333,40.8
"Zak Butters","PTA",621000,84,63,74,34,109,84,81.4444444444444,73.6666666666667,72.8
"Zak Jones","STK",702000,79,66,0,0,0,79,72.5,72.5,72.5
"Zane Trew","WCE",190000,0,0,0,0,0,0,0,0,0
